Collections Audit Sample (66 collections checked live),,,,,,,
Summary: Missing meta description = 65/66 | Weak titles (<20 chars) = 56/66 | Empty (0 products) = 14/66 | Thin (1–3 products) = 21/66,,,,,,,
Recommendation legend: DELETE/HIDE = remove from index | WRITE SEO = add title+meta+copy | KEEP+OPTIMIZE = important commercial page,,,,,,,
Collection handle,Title,Title length,Has meta desc?,Products (≤250 API),H1,Recommended action,Suggested SEO title (example)
all-fat-burners,FAT BURNING ESSENTIALS,22,YES,11,FAT BURNING ESSENTIALS,KEEP+OPTIMIZE — WRITE SEO,Buy Fat Burning Essentials in Canada | Lift The City Supplements
collagen,COLLAGEN,8,NO,11,COLLAGEN,KEEP+OPTIMIZE — WRITE SEO,Buy Collagen in Canada | Lift The City Supplements
liver-detox,ORGAN HEALTH,12,NO,11,ORGAN HEALTH,KEEP+OPTIMIZE — WRITE SEO,Buy Organ Health in Canada | Lift The City Supplements
top-5-protein-isolates,TOP PROTEIN ISOLATES (LACTOSE FREE),35,NO,11,TOP PROTEIN ISOLATES (LACTOSE FREE),KEEP+OPTIMIZE — WRITE SEO,Buy Top Protein Isolates (Lactose Free) in Canada | Lift The City Supp
multivitamin-for-men,MEN'S MULTIVITAMINS,23,NO,12,MEN'S MULTIVITAMINS,KEEP+OPTIMIZE — WRITE SEO,Buy Men'S Multivitamins in Canada | Lift The City Supplements
vitamins,VITAMINS,8,NO,13,VITAMINS,KEEP+OPTIMIZE — WRITE SEO,Buy Vitamins in Canada | Lift The City Supplements
creatine-monohydrate,CREATINE,8,NO,14,CREATINE,KEEP+OPTIMIZE — WRITE SEO,Buy Creatine in Canada | Lift The City Supplements
nootropics,COGNITIVE HEALTH,16,NO,14,COGNITIVE HEALTH,KEEP+OPTIMIZE — WRITE SEO,Buy Cognitive Health in Canada | Lift The City Supplements
sleep,SLEEP SUPPORT,13,NO,14,SLEEP SUPPORT,KEEP+OPTIMIZE — WRITE SEO,Buy Sleep Support in Canada | Lift The City Supplements
digestive-aid-1,DIGESTION,9,NO,15,DIGESTION,KEEP+OPTIMIZE — WRITE SEO,Buy Digestion in Canada | Lift The City Supplements
greens-superfoods,"GREENS, REDS, BLUES & MUSHROOMS",35,NO,15,"GREENS, REDS, BLUES & MUSHROOMS",KEEP+OPTIMIZE — WRITE SEO,"Buy Greens, Reds, Blues & Mushrooms in Canada | Lift The City Suppleme"
fat-burners,FAT BURNING,11,NO,16,FAT BURNING,KEEP+OPTIMIZE — WRITE SEO,Buy Fat Burning in Canada | Lift The City Supplements
magnum,MAGNUM,6,NO,16,MAGNUM,KEEP+OPTIMIZE — WRITE SEO,Buy Magnum in Canada | Lift The City Supplements
recovery,ESSENTIAL AMINO ACIDS & ELECTROLYTES,40,NO,23,ESSENTIAL AMINO ACIDS & ELECTROLYTES,KEEP+OPTIMIZE — WRITE SEO,Buy Essential Amino Acids & Electrolytes in Canada | Lift The City Sup
front-page-listing,FRONT PAGE LISTING,18,NO,45,FRONT PAGE LISTING,DELETE/HIDE or NOINDEX,Buy Front Page Listing in Canada | Lift The City Supplements
protein,PROTEIN,7,NO,61,PROTEIN,KEEP+OPTIMIZE — WRITE SEO,Buy Protein in Canada | Lift The City Supplements
all,Products,8,NO,250,All products,KEEP+OPTIMIZE — WRITE SEO,Buy Products in Canada | Lift The City Supplements
best-selling-collection,Best selling products,21,NO,250,Best selling products,KEEP+OPTIMIZE — WRITE SEO,Buy Best Selling Products in Canada | Lift The City Supplements
